Don't change any of these headers!,Session Title,Date,Time Start,Time End,Room/Location,Schedule Track (Optional),Description (Optional)
,Registration / Breakfast,09-18-2015,08:00,09:30,Cafeteria,,
,Opening Plenary,09-18-2015,09:30,10:30,PythonAnywhere Room (CC1.3),,
,"Keynote: Van Lindberg, PSF Chair",09-18-2015,10:30,11:30,PythonAnywhere Room (CC1.3),,
,DjangoGirls,09-18-2015,10:30,12:00,Training and Hackathon (Simulation Centre),,
,Trans*Code,09-18-2015,10:30,12:30,Training and Hackathon (Simulation Centre),,
,Minecraft in Education,09-18-2015,10:30,11:20,Bank of America Education Track (Simulation Centre),,
,First steps in Python,09-18-2015,10:30,11:20,Bank of America Education Track (Simulation Centre),,
,Skycademy,09-18-2015,11:20,12:10,Bank of America Education Track (Simulation Centre),,
,PyGame Zero,09-18-2015,11:20,12:10,Bank of America Education Track (Simulation Centre),,
,Python's Infamous GIL,09-18-2015,11:30,12:00,PythonAnywhere Room (CC1.3),,"Larry Hastings

You’ve heard about Python’s GIL. But what is it really? What does it do, both good and bad?

Come learn all about the Python GIL. You’ll learn about its history, all the problems it solves, all the problems it causes (that we know about!), and what it would take to remove the GIL.

Attendees should be familiar with the terrors inherent in multithreaded programming, and be comfortable with a little C code in the slides."
,A deep dive into python import hooks,09-18-2015,11:30,12:00,Osper Room (CC1.4),,"Louis Taylor

In this session we will introduce python import hooks and all the fun that can be had with them. Find out how to completely customise import logic and import modules from any location and any type of file."
,Introduction to Python,09-18-2015,11:30,13:00,YPlan Room (CC1.8),,
,"Real-Time Data + Django = Fun,Growth + Profit",09-18-2015,11:30,12:00,LaterPay Room (CC2.1),,"Rachel Willmer

I've been trying for 2 years to find a good [*] solution for how to add real-time wow into my ebook search site Luzme. Finally, I think I may have it; 

Python/Django meets AngularJS/Firebase; and Luzme finally gets real-time data updates without thrashing the database with repeated querying.

[*] ""Good"" = easy to implement + scalable + financially viable"
,PGP key signing party,09-18-2015,12:00,13:00,PythonAnywhere Room (CC1.3),,
,Career Clinic,09-18-2015,12:00,13:00,Osper Room (CC1.4),,
,Lunchtime Event,09-18-2015,12:00,13:00,LaterPay Room (CC2.1),,
,DjangoGirls Lunch,09-18-2015,12:00,12:30,Training and Hackathon (Simulation Centre),,
,Your code in space with AstroPi,09-18-2015,12:10,13:00,Bank of America Education Track (Simulation Centre),,
,Code Club,09-18-2015,12:10,13:00,Bank of America Education Track (Simulation Centre),,
,DjangoGirls,09-18-2015,12:30,18:00,Training and Hackathon (Simulation Centre),,
,Trans*Code Lunch,09-18-2015,12:30,13:00,Training and Hackathon (Simulation Centre),,
,Lunch time Event Spare Slot,09-18-2015,13:00,14:00,PythonAnywhere Room (CC1.3),,
,Lunchtime Event Spare Slot,09-18-2015,13:00,14:00,Osper Room (CC1.4),,
,Workshop Room Setup),09-18-2015,13:00,14:00,YPlan Room (CC1.8),,
,Lunchtime Event,09-18-2015,13:00,14:00,LaterPay Room (CC2.1),,
,Trans*Code,09-18-2015,13:00,18:00,Training and Hackathon (Simulation Centre),,
,Education Track Lunch,09-18-2015,13:00,14:00,Bank of America Education Track (Simulation Centre),,
,Keynote: Daniele Procida All I really want is power,09-18-2015,14:00,15:00,PythonAnywhere Room (CC1.3),,"Daniele Procida

Computing power is a kind of power, but I’m interested in a more powerful power: power over other people.

I want to understand power and where it comes from. I’m curious about the balances and imbalances of power in our worlds of software development, how it moves around and where it goes. I want to know how it affects the people who have it, how they use it, and whether they even realise that they hold it.

I believe that it really matters to open-source communities, that it’s poorly understood, and that not understanding it has harmful consequences for us."
,"All hands resource generation un-conference, adopt a developer",09-18-2015,14:00,16:00,Bank of America Education Track (Simulation Centre),,
,Analyzing Python with Pylint,09-18-2015,15:00,15:30,PythonAnywhere Room (CC1.3),,"Claudiu Popa

Given the dynamic nature of Python, some bugs tend to creep in our codebases. Innocents NameErrors or hard-to-find bugs with variables used in a closure, but defined in a loop, they all stand no chance in front of Pylint (http://pylint.org/).

In this talk, I’ll present one of the oldest static analysis tools for Python, with emphasis on what it can do to understand your Python code. Pylint is both a style checker, enforcing PEP 8 rules, as well as a code checker in the vein of pyflakes and pychecker, but its true power isn’t always obvious in the eye of beholder, especially when it's hidden through its verbosity. Interpreting its results can be a daunting task, but there are tricks which can be used to improve its user experience, such as enabling only structural checking with the -E flag or disabling unwanted category checks.

Pylint can detect simple bugs such as unused variables and imports, but it can also detect more complicated cases such as invalid arguments passed to functions, it understands the method resolution order of your classes, generators, contexts managers and what special methods aren’t implemented correctly.

Starting from abstract syntax trees, we’ll go through its inference engine and we’ll see how Pylint understands the logical flow of your program and what sort of type hinting techniques are used to improve its inference, including PEP 484 type hints. Pylint's roadmap includes better understanding of Python code, by improving its flow control analysis, escape analysis, understanding metaclasses and descriptors and having a better type checker, as well as improving the user experience, by reducing the number of false positives it currently has. As a bonus, I’ll show how it can be used to help you port your long-forgotten library to Python 3, using its new –py3k mode, which emits warnings regarding Python 3 compatibility.

The participants should have a basic understanding of Python. No other prerequisite is necessary, since the other concepts will be explained during the talk.

The following concepts will be explained during this talk:

  -   abstract syntax trees
   -  static analysis and why using static analysis for your code
   -  what is inference and what forms an inference engine"
,Choosing a web framework for Python 3 and asyncio,09-18-2015,15:00,15:30,Osper Room (CC1.4),,"Dan Clark

I left PyconUK 2014 with a feeling that I couldn't look myself in the mirror for too much longer without upgrading at least one of my projects to python 3. Yet I was happy with my flask+gevent+websockets stack and the lack of a clear migration path to python 3 was putting me off.

In this talk, I'll cover some of the challenges that came with selecting aiohttp, a relatively young/small/clean framework built on asyncio, like login and user registration, things we take for granted when using a more mature framework like django, flask or pyramid."
,Django Security Workshop,09-18-2015,15:00,18:30,YPlan Room (CC1.8),,"Peter Inglesby

This workshop will explore some of the ways that Django helps you keep your applications and your users secure.

We'll do this by taking a simplish Django site, disabling some of Django's built-in protections, and looking at how to exploit the weaknesses that become exposed.

Along the way, we'll look at types of attack including session hijacking, cross site scripting, cross site request forgery, and SQL injection.

This workshop is not a comprehensive ""HOW TO"" guide for keeping a Django site secure.

Instead, its goal is to help you understand the mentality required to both evaluate the kinds of security risks that web applications are exposed to, and protect against those risks."
