Title,Speaker,Date,Time,Room
Registration / Breakfast,,2015-09-18,08:00,Cafeteria
Opening Plenary,,2015-09-18,09:30,PythonAnywhere Room (CC1.3)
"Keynote: Van Lindberg, PSF Chair",,2015-09-18,10:30,PythonAnywhere Room (CC1.3)
DjangoGirls,,2015-09-18,10:30,Training and Hackathon (Simulation Centre)
Trans*Code,,2015-09-18,10:30,Training and Hackathon (Simulation Centre)
Minecraft in Education,,2015-09-18,10:30,Bank of America Education Track (Simulation Centre)
First steps in Python,,2015-09-18,10:30,Bank of America Education Track (Simulation Centre)
Skycademy,,2015-09-18,11:20,Bank of America Education Track (Simulation Centre)
PyGame Zero,,2015-09-18,11:20,Bank of America Education Track (Simulation Centre)
Python's Infamous GIL,Larry Hastings,2015-09-18,11:30,PythonAnywhere Room (CC1.3)
A deep dive into python import hooks,Louis Taylor,2015-09-18,11:30,Osper Room (CC1.4)
Introduction to Python,,2015-09-18,11:30,YPlan Room (CC1.8)
"Real-Time Data + Django = Fun,Growth + Profit",Rachel Willmer,2015-09-18,11:30,LaterPay Room (CC2.1)
PGP key signing party,,2015-09-18,12:00,PythonAnywhere Room (CC1.3)
Career Clinic,,2015-09-18,12:00,Osper Room (CC1.4)
Lunchtime Event,,2015-09-18,12:00,LaterPay Room (CC2.1)
DjangoGirls Lunch,,2015-09-18,12:00,Training and Hackathon (Simulation Centre)
Your code in space with AstroPi,,2015-09-18,12:10,Bank of America Education Track (Simulation Centre)
Code Club,,2015-09-18,12:10,Bank of America Education Track (Simulation Centre)
DjangoGirls,,2015-09-18,12:30,Training and Hackathon (Simulation Centre)
Trans*Code Lunch,,2015-09-18,12:30,Training and Hackathon (Simulation Centre)
Lunch time Event Spare Slot,,2015-09-18,13:00,PythonAnywhere Room (CC1.3)
Lunchtime Event Spare Slot,,2015-09-18,13:00,Osper Room (CC1.4)
Workshop Room Setup),,2015-09-18,13:00,YPlan Room (CC1.8)
Lunchtime Event,,2015-09-18,13:00,LaterPay Room (CC2.1)
Trans*Code,,2015-09-18,13:00,Training and Hackathon (Simulation Centre)
